Id,Variable,Valor
1,Price,43
1,Food,22
1,Decor,18
1,Service,20
2,Price,32
2,Food,20
2,Decor,19
2,Service,19
3,Price,34
3,Food,21
3,Decor,13
3,Service,18
4,Price,41
4,Food,20
4,Decor,20
4,Service,17
5,Price,54
5,Food,24
5,Decor,19
5,Service,21
6,Price,52
6,Food,22
6,Decor,22
6,Service,21
7,Price,34
7,Food,22
7,Decor,16
7,Service,21
8,Price,34
8,Food,20
8,Decor,18
8,Service,21
9,Price,39
9,Food,22
9,Decor,19
9,Service,22
10,Price,44
10,Food,21
10,Decor,17
10,Service,19
11,Price,45
11,Food,19
11,Decor,17
11,Service,20
12,Price,47
12,Food,21
12,Decor,19
12,Service,21
13,Price,52
13,Food,21
13,Decor,19
13,Service,20
14,Price,35
14,Food,19
14,Decor,17
14,Service,19
15,Price,47
15,Food,20
15,Decor,18
15,Service,21
16,Price,37
16,Food,21
16,Decor,19
16,Service,21
17,Price,45
17,Food,22
17,Decor,18
17,Service,23
18,Price,57
18,Food,24
18,Decor,21
18,Service,22
19,Price,38
19,Food,19
19,Decor,17
19,Service,18
20,Price,51
20,Food,22
20,Decor,20
20,Service,22
21,Price,54
21,Food,23
21,Decor,20
21,Service,23
22,Price,51
22,Food,23
22,Decor,17
22,Service,21
23,Price,38
23,Food,20
23,Decor,18
23,Service,18
24,Price,49
24,Food,22
24,Decor,21
24,Service,21
25,Price,45
25,Food,22
25,Decor,20
25,Service,22
26,Price,37
26,Food,19
26,Decor,17
26,Service,19
27,Price,50
27,Food,22
27,Decor,19
27,Service,22
28,Price,43
28,Food,20
28,Decor,16
28,Service,18
29,Price,49
29,Food,22
29,Decor,19
29,Service,20
30,Price,65
30,Food,21
30,Decor,20
30,Service,20
31,Price,34
31,Food,20
31,Decor,16
31,Service,18
32,Price,51
32,Food,21
32,Decor,20
32,Service,18
33,Price,49
33,Food,20
33,Decor,19
33,Service,19
34,Price,51
34,Food,23
34,Decor,22
34,Service,23
35,Price,62
35,Food,25
35,Decor,22
35,Service,23
36,Price,50
36,Food,23
36,Decor,21
36,Service,21
37,Price,51
37,Food,21
37,Decor,18
37,Service,20
38,Price,52
38,Food,22
38,Decor,19
38,Service,22
39,Price,57
39,Food,24
39,Decor,20
39,Service,23
40,Price,49
40,Food,21
40,Decor,20
40,Service,21
41,Price,33
41,Food,19
41,Decor,17
41,Service,18
42,Price,43
42,Food,19
42,Decor,17
42,Service,17
43,Price,41
43,Food,21
43,Decor,17
43,Service,18
44,Price,58
44,Food,24
44,Decor,21
44,Service,23
45,Price,56
